"","site","sampling_zone","disturbance","chamber_no","co2_mg_c_m2_h","ch4_mg_c_m2_h","n2o_mg_m2_h","tsurf_water_degc","cond_uscm.1","ph","do_mgl.1","area_km2","depth_m"
"41","BBL","1_disturbed","disturbed",1,20.6294425289613,1.15658024326788,-0.00373039954103612,24.9,130,6.4,5.8,0.0661,0.24
"42","BBL","1_disturbed","disturbed",2,23.2668984260384,1.02164134954001,-0.00478051880906782,24.9,130,6.4,5.8,0.0661,0.24
"43","BBL","1_disturbed","disturbed",3,12.8537699736451,0.373423419072109,-0.00478968907748499,24.9,130,6.4,5.8,0.0661,0.24
"44","BBL","1_disturbed","disturbed",4,6.60182194441098,0.230136715640174,-0.00375791151564517,24.9,130,6.4,5.8,0.0661,0.24
"45","BBL","1_disturbed","disturbed",1,29.2632650224483,2.68935913305759,-0.0123528960441861,18.1,NA,NA,5.9,0.0661,0.24
"46","BBL","1_disturbed","disturbed",2,29.3930465833912,NA,0.00529390693571976,18.1,NA,NA,5.9,0.0661,0.24
"47","BBL","1_disturbed","disturbed",3,8.0188081318856,-0.414259733462622,0.00257968205260324,18.1,NA,NA,5.9,0.0661,0.24
"48","BBL","1_disturbed","disturbed",4,8.37779302142475,-0.138421557213916,0.0103171599459668,18.1,NA,NA,5.9,0.0661,0.24
"49","BBL","1_disturbed","disturbed",1,11.5703913151337,5.1734216619499,0.404075636806599,19.8,160,6.9,3.2,0.0661,0.24
"50","BBL","1_disturbed","disturbed",2,18.1322261971331,0.333445458898548,-0.00827701310958557,19.8,160,6.9,3.2,0.0661,0.24
"51","BBL","1_disturbed","disturbed",3,38.2048178507998,0.243614779422244,-0.00701532182546311,19.8,160,6.9,3.2,0.0661,0.24
"52","BBL","1_disturbed","disturbed",4,44.8657707173314,0.382083037079278,-0.00577798742241482,19.8,160,6.9,3.2,0.0661,0.24
"53","BBL","3_undisturbed","undisturbed",1,2.45176570207649,0.0971849768452485,-0.015671034892484,NA,50,NA,NA,0.0661,0.32
