"","collar_id","site","sampling_zone","vegetated","nee_mg_c_m2_h","er_mg_c_m2_h","ch4_mg_c_m2_h","vwc_perc_mean","frost_cm_mean","soil_temp_surface_degc","average_t_out","average_par_out","green_perc"
"1","BBI4","BBL","undisturbed","y",0.668349109,29.96492157,0.080671306,13.9666666666667,8,6.126417756,12.432917218543,1083.11225165563,0.1
"2","BBI3","BBL","undisturbed","y",5.575084128,22.39015149,0.009709808,2.43333333333333,11,NA,10.7224933333333,1130.95,0
"3","BBI2","BBL","undisturbed","y",6.061580173,22.15484352,0.000508065,6.7,12.6666666666667,6.747154579,12.1298172757475,983.060465116279,0
"4","BBI1","BBL","undisturbed","y",-11.93020113,25.50461934,0.003319197,19.8666666666667,10.3333333333333,NA,11.27009,1111.03333333333,0
"5","BBS1","BBL","disturbed","n",3.692965073,28.26071719,0.011265644,39.6,10.3333333333333,5.45,8.51935548172757,1066.71495016611,0
"6","BBS2","BBL","disturbed","y",7.947190554,46.84628168,0.012430507,33.4666666666667,8,9.340413124,9.03936333333333,1145.45,0.1
"7","BBS3","BBL","disturbed","n",4.336542054,10.24526814,0.014816678,41.6333333333333,6.66666666666667,NA,9.48870099667774,1099.79634551495,0
"8","BBS4","BBL","disturbed","y",14.17012847,58.23771859,0.012096183,32.1,9.33333333333333,NA,9.51192333333333,1158.70833333333,0.8
"9","LBI1","LBL","undisturbed","y",-31.23779242,47.60210708,-0.001639045,19.4519585817778,11.6666666666667,8.493006818,13.11151,1209.11666666667,0.1
"10","LBI2","LBL","undisturbed","y",31.09688439,42.22596183,0.001042981,13.4,9.66666666666667,8.349359686,13.2217284768212,1341.29933774834,0.2
"11","LBI3","LBL","undisturbed","y",8.750061339,38.77716046,0.002200567,22.599517124,8.33333333333333,NA,13.6455548172757,1133.99069767442,0.1
"12","LBI4","LBL","undisturbed","y",43.77678134,38.58422962,0.003287425,9.3,9.66666666666667,NA,13.7270066666667,1233.75833333333,0.3
"13","LBS4","LBL","disturbed","y",NA,40.17013631,0.002708942,NA,5.66666666666667,NA,14.2186933333333,1244.71666666667,0.4
"14","LBS1","LBL","disturbed","y",-45.97189407,18.67310997,0.005732947,37.555596644,12,8.900139449,12.5364133333333,1281.10833333333,0.9
"15","LBI1","LBL","undisturbed","y",-84.84277328,79.74747836,-0.001339989,32.3020380804444,12.3333333333333,13.5743182,22.8421561461794,1150.66843853821,2.2
"16","LBI2","LBL","undisturbed","y",33.9895409,66.17897755,-0.00541769,33.2666666666667,15.3333333333333,14.35433582,20.9554933774834,1148.66688741722,2.9
"17","LBI3","LBL","undisturbed","y",-38.48586846,102.4429947,-0.003269034,21.9678754351111,17.3333333333333,NA,23.0225149501661,1133.38438538206,7.6
"18","LBI4","LBL","undisturbed","y",35.61089708,52.55143708,-0.002982852,12.9,19.3333333333333,NA,22.4261291390728,487.930132450331,1.1
"19","LBS4","LBL","disturbed","y",-84.8093862,87.48935014,-0.000314495,36.088707524,15.3333333333333,NA,21.7662748344371,944.73476821192,2.2
"20","LBS2","LBL","disturbed","n",-13.09276507,62.83118744,0.000268039,44.3,16.6666666666667,8.841335668,19.5953633333333,782.708333333333,0.3
"21","LBS1","LBL","disturbed","y",-108.013711,93.06751893,-0.00197841,33.318582464,17,13.12772146,19.5942857142857,864.597009966777,2.9
"22","BBI1","BBL","undisturbed","y",-2.595365881,33.84068003,-0.005990507,38.9,20.3333333333333,NA,19.9263543046358,1040.55430463576,1.3
"23","BBI2","BBL","undisturbed","y",-9.442193086,42.48370412,-0.003416352,27.1666666666667,14,11.16234208,17.9517441860465,801.033887043189,0.5
"24","BBI3","BBL","undisturbed","y",-12.51837291,63.80664316,-0.002152175,14.9,12.6666666666667,NA,17.83866,649.45,6.9
"25","BBI4","BBL","undisturbed","y",37.00182391,113.8180569,-0.000600909,24.4,19.3333333333333,10.1168041,16.7486810631229,601.316279069767,1.3
"26","BBS2","BBL","disturbed","y",-42.18061096,64.19783468,0.003073257,38.1666666666667,35.6666666666667,12.78775757,15.6857350993377,1138.68344370861,1
"27","BBS4","BBL","disturbed","y",-14.39209142,72.88729118,0.002313924,34.2333333333333,20.6666666666667,NA,15.4256158940397,1103.94834437086,4
"28","LBI1","LBL","undisturbed","y",-64.54674314,91.28018585,-0.003746644,32.9877099417778,17,15.70320684,21.5914633333333,715.283333333333,1.8
"29","LBI2","LBL","undisturbed","y",25.64035205,76.66593807,-0.003636138,36.7,21.6666666666667,16.87020712,23.3205415282392,1064.09867109635,4.2
"30","LBI3","LBL","undisturbed","y",-91.10256857,94.39371609,-0.005145205,34.9446304551111,22.3333333333333,NA,22.7564850498339,758.525581395349,10.5
"31","LBI4","LBL","undisturbed","y",43.69072231,55.2937304,-0.002115097,35.3333333333333,24.3333333333333,NA,22.4765,672.716666666667,1.1
"32","LBS4","LBL","disturbed","y",-117.0433124,93.03941216,-0.004914395,44.5541104,21.6666666666667,NA,22.3959833333333,984.75,3.6
"33","LBS2","LBL","disturbed","n",-22.839947,90.42921856,-0.00144695,48.3666666666667,19.3333333333333,10.32291671,25.715122923588,1128.97408637874,0.3
"34","LBS1","LBL","disturbed","y",-114.1624191,159.9872135,-0.005056461,29.980932004,14.6666666666667,15.99697203,26.2816166666667,1155.24166666667,3.7
"35","LBI1","LBL","undisturbed","y",40.29495437,170.6644575,-0.008720787,24.4284344444444,20.3333333333333,20.05521104,31.1666279069767,1103.97408637874,8.4
"36","LBI2","LBL","undisturbed","y",-85.69742567,128.9170868,-0.058681492,34.7666666666667,30,22.52765371,31.5458671096346,1006.75647840532,7.3
"37","LBI3","LBL","undisturbed","y",122.2567336,165.290676,-0.015189592,31.9211360337778,27.6666666666667,NA,30.5163344370861,1227.54933774834,22.3
"38","LBI4","LBL","undisturbed","y",62.54735489,84.11149909,-0.010631918,24.3666666666667,32.6666666666667,NA,30.6945215946844,507.030564784053,3.2
"39","LBS1","LBL","disturbed","y",NA,NA,NA,31.8162476,20.3333333333333,19.014904,30.661701986755,1085.09900662252,12.8
